GEOID	ANSICODE	NAME	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG 
7645	02419267	Tununak ANVSA	327	90	155599867	620621	60.077	0.240	60.607991	-165.120790
7650	02419269	Twin Hills ANVSA	74	36	58981073	686092	22.773	0.265	59.100182	-160.309262 
7655	02419272	Tyonek ANVSA	177	112	32765190	1708124	12.651	0.660	61.088114	-151.161217
7665	02419274	Ugashik ANVSA	12	25	233725677	4165192	90.242	1.608	57.500442	-157.281038
7690	02419276	Unalakleet ANVSA	688	281	30749945	6659727	11.873	2.571	63.931222	-160.790392
7695	02419277	Unalaska ANVSA	4376	1106	215418321	6063796	83.173	2.341	53.913312	-166.525080 
7725	02575192	Venetie ANVSA	149	79	31082573	0	12.001	0.000	67.028793	-146.403174
7735	02419281	Wainwright ANVSA	556	179	46461393	0	17.939	0.000	70.644838	-159.918656
7740	02419282	Wales ANVSA	145	51	6539061	0	2.525	0.000	65.614193	-168.081118 
7745	02419284	White Mountain ANVSA	190	79	4669849	600456	1.803	0.232	64.681831	-163.411928 
7755	02575193	Wrangell ANVSA	1189	604	2339293	0	0.903	0.000	56.473380	-132.378963
7765	02419292	Yakutat ANVSA	662	383	260257984	9407367	100.486	3.632	59.563588	-139.606191
8100	02418802	Cayuga Nation TDSA	2715	1403	98023828	92262060	37.847	35.623	42.790163	-76.714909 
8300	02418631	Ione Band of Miwok TDSA	5	5	5485655	0	2.118	0.000	38.458745	-120.848403
8450	02418703	Mechoopda TDSA	3106	1187	3395740	0	1.311	0.000	39.720793	-121.802193 
8750	02419206	Samish TDSA	36727	24318	581803058	1407813423	224.635	543.560	48.555359	-122.893979 
9100	01930930	Golden Hill Paugussett Reservation	4	4	399343	0	0.154	0.000	41.552187	-72.268020
9150	02418958	Hassanamisco Reservation	2	1	20909	0	0.008	0.000	42.212011	-71.704496 
9230	01470191	Mattaponi Reservation	65	33	279160	31696	0.108	0.012	37.661503	-76.915128 
9240	02419024	MOWA Choctaw Reservation	87	36	2694225	0	1.040	0.000	31.152068	-88.053417 
9260	01472036	Pamunkey Reservation	73	43	4422059	1958360	1.707	0.756	37.571833	-77.005218 
