GEOID	ANSICODE	NAME	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                         
3205	00767936	Rocky Boy's Reservation and Off-Reservation Trust Land	3323	886	443316943	439651	     171.166	       0.170	 48.274979	-109.823174                                                         
3220	00231831	Rohnerville Rancheria	38	12	176276	0	       0.068	       0.000	 40.579910	-124.123760                                                                                                     
3235	01266248	Rosebud Indian Reservation and Off-Reservation Trust Land	10869	3548	5106216062	10101768	    1971.521	       3.900	 43.285887	-100.666557                                                 
3250	00267196	Round Valley Reservation and Off-Reservation Trust Land	401	143	93692865	138654	      36.175	       0.054	 39.892179	-123.331647                                                          
3265	00232012	Rumsey Indian Rancheria	77	27	1975611	0	       0.763	       0.000	 38.740492	-122.136455                                                                                                  
3280	00463420	Sac and Fox/Meskwaki Settlement	1062	335	25553467	0	       9.866	       0.000	 41.980802	 -92.650167                                                                                      
3285	00479832	Sac and Fox Nation Reservation and Off-Reservation Trust Land	173	97	61285498	0	      23.662	       0.000	 40.005681	 -95.518031                                                          
3305	01843172	St. Croix Reservation and Off-Reservation Trust Land	768	268	9599357	260365	       3.706	       0.101	 45.528813	 -92.281557                                                              
3320	00979449	St. Regis Mohawk Reservation	3228	1222	49055456	5306037	      18.940	       2.049	 44.978762	 -74.643017                                                                                  
3340	00037072	Salt River Reservation	6289	2607	213670490	7486443	      82.499	       2.891	 33.522201	-111.798109                                                                                       
3355	00024000	San Carlos Reservation	10068	2627	7518015398	62683520	    2902.722	      24.202	 33.336845	-110.134865                                                                                    
3370	01934343	Sandia Pueblo	4965	1827	99315026	1419431	      38.346	       0.548	 35.242814	-106.524466                                                                                                 
3400	00910614	San Felipe Pueblo	3563	833	205910692	1314434	      79.503	       0.508	 35.424856	-106.431824                                                                                             
3415	00918342	San Ildefonso Pueblo and Off-Reservation Trust Land	1752	741	121988777	540970	      47.100	       0.209	 35.862104	-106.169872                                                            
3445	00248904	San Manuel Reservation	112	44	2706561	0	       1.045	       0.000	 34.156415	-117.217506                                                                                                  
3460	00255933	San Pasqual Reservation	1097	372	5793800	0	       2.237	       0.000	 33.211190	-116.962731                                                                                               
3480	01934345	Santa Ana Pueblo	621	261	260382722	1328554	     100.534	       0.513	 35.430560	-106.587407                                                                                               
3495	00937196	Santa Clara Pueblo	11021	4906	199052189	650661	      76.854	       0.251	 35.974588	-106.189371                                                                                           
3520	00247949	Santa Rosa Rancheria	652	233	1620471	0	       0.626	       0.000	 36.236111	-119.755133                                                                                                   
3525	01934330	Santa Rosa Reservation	71	32	44189655	0	      17.062	       0.000	 33.556460	-116.529196                                                                                                  
3540	00249132	Santa Ynez Reservation	271	105	629385	0	       0.243	       0.000	 34.602733	-120.091417                                                                                                  
3550	00255932	Santa Ysabel Reservation	330	140	60672787	0	      23.426	       0.000	 33.183700	-116.658603                                                                                              
3565	01884912	Santee Reservation	901	360	447826212	30051354	     172.907	      11.603	 42.710703	 -97.821836                                                                                            
3585	00937201	Santo Domingo Pueblo	3255	666	274678529	728077	     106.054	       0.281	 35.534142	-106.377155                                                                                           
3625	02419131	Sauk-Suiattle Reservation	71	22	188279	0	       0.073	       0.000	 48.320199	-121.548556                                                                                                 
3635	02419132	Sault Sainte Marie Reservation and Off-Reservation Trust Land	1747	641	5072006	45259	       1.958	       0.017	 46.472999	 -84.207742                                                     
3665	02419138	Seminole (FL) Trust Land	0	0	7322	0	       0.003	       0.000	 26.103926	 -80.201887                                                                                                      
3680	00649741	Shakopee Mdewakanton Sioux Community and Off-Reservation Trust Land	658	319	6451196	3445	       2.491	       0.001	 44.766102	 -93.458966                                                 
3735	00232986	Sherwood Valley Rancheria and Off-Reservation Trust Land	168	55	2003803	0	       0.774	       0.000	 39.541947	-123.490740                                                                
3750	00233021	Shingle Springs Rancheria	102	35	699769	0	       0.270	       0.000	 38.696686	-120.905640                                                                                                
3780	01508317	Shoalwater Bay Indian Reservation and Off-Reservation Trust Land	82	34	2733861	644402	       1.056	       0.249	 46.721463	-124.029196                                                    
3795	01155124	Siletz Reservation and Off-Reservation Trust Land	506	176	17796285	1260	       6.871	       0.000	 44.741497	-123.764095                                                                  
3825	01525866	Skokomish Reservation	730	292	21255702	570419	       8.207	       0.220	 47.333763	-123.157801                                                                                            
3840	01445643	Skull Valley Reservation	23	17	72932853	0	      28.160	       0.000	 40.387420	-112.735813                                                                                                
3855	00274833	Smith River Rancheria and Off-Reservation Trust Land	113	47	809376	0	       0.313	       0.000	 41.952206	-124.205824                                                                     
3860	02419473	Snoqualmie Reservation	0	0	229227	0	       0.089	       0.000	 47.519190	-121.841581                                                                                                      
3870	00249635	Soboba Reservation and Off-Reservation Trust Land	482	183	27497807	476649	      10.617	       0.184	 33.774142	-116.880664                                                                
3885	01577206	Sokaogon Chippewa Community and Off-Reservation Trust Land	414	166	12645429	888165	       4.882	       0.343	 45.492131	 -88.989178                                                       
3925	00169585	Southern Ute Reservation	12153	5685	2742074120	12137427	    1058.721	       4.686	 37.106404	-107.650138                                                                                  
